Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - ActualuseractvalueCount = ActualTCuseractvalues.size(),Chrome 70.0.3538.102,,2018-11-24 11:49:36,2018-11-24 11:49:36,0.000s,PASSED
Statement - println(ActualindexCount :$ActualindexCount),Chrome 70.0.3538.102,,2018-11-24 11:49:36,2018-11-24 11:49:36,0.000s,PASSED
Statement - println(ActualmodulevalueCount :$ActualmodulevalueCount),Chrome 70.0.3538.102,,2018-11-24 11:49:36,2018-11-24 11:49:36,0.001s,PASSED
Statement - println(ActualuseractvalueCount :$ActualuseractvalueCount),Chrome 70.0.3538.102,,2018-11-24 11:49:36,2018-11-24 11:49:36,0.000s,PASSED
,,,,,,
Test Cases/Framework/Framing,Chrome 70.0.3538.102,,2018-11-24 11:49:36,2018-11-24 11:51:53,2m - 16.876s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-24 11:49:37,2018-11-24 11:49:41,3.550s,PASSED
Statement - loginData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Data Files/Framework/Configuration),Chrome 70.0.3538.102,Getting the Login sheet Data from Data files,2018-11-24 11:49:41,2018-11-24 11:49:41,0.117s,PASSED
"Statement - url = loginData.getValue(""URL"", 1)",Chrome 70.0.3538.102,Getting the Url Data from Testcase sheet,2018-11-24 11:49:41,2018-11-24 11:49:41,0.008s,PASSED
Statement - If (!(url.isEmpty())),Chrome 70.0.3538.102,,2018-11-24 11:49:41,2018-11-24 11:49:43,2.152s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:49:43,2018-11-24 11:49:45,1.524s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:49:45,2018-11-24 11:49:46,1.379s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:49:46,2018-11-24 11:49:58,12.312s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:49:58,2018-11-24 11:50:08,9.446s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:50:08,2018-11-24 11:50:19,10.754s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:50:19,2018-11-24 11:50:30,11.517s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:50:30,2018-11-24 11:50:34,3.475s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:50:34,2018-11-24 11:50:35,1.555s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:50:35,2018-11-24 11:50:41,5.797s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:50:41,2018-11-24 11:50:49,8.336s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:50:49,2018-11-24 11:50:51,1.249s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:50:51,2018-11-24 11:50:54,3.222s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:50:54,2018-11-24 11:50:55,1.434s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:50:55,2018-11-24 11:51:00,4.471s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:00,2018-11-24 11:51:09,9.406s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:09,2018-11-24 11:51:20,10.925s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:20,2018-11-24 11:51:32,11.426s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:32,2018-11-24 11:51:34,2.418s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:34,2018-11-24 11:51:36,2.483s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:36,2018-11-24 11:51:46,9.362s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:51:46,2018-11-24 11:51:47,1.182s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:51:47,2018-11-24 11:51:48,1.287s,PASSED
Statement - Try,Chrome 70.0.3538.102,,2018-11-24 11:51:48,2018-11-24 11:51:50,1.513s,PASSED
Statement - switch (fieldType),Chrome 70.0.3538.102,,2018-11-24 11:51:50,2018-11-24 11:51:53,3.400s,PASSED
